exp,desc,hparams,best_epoch,train_acc,valid_acc,valid_macro_f1,valid_minor_recall,recall_Center,recall_Donut,recall_Edge-Loc,recall_Edge-Ring,recall_Loc,recall_Near-full,recall_Random,recall_Scratch,recall_none
1,Baseline,"epochs=30, lr=1e-3",28,99.8689,82.7490,0.7623,0.8783,0.9453,0.8288,0.7958,0.9804,0.6630,0.9333,0.8728,0.2134,0.7970
2,+Early Stopping,patience=5,7,98.3944,83.0603,0.7696,0.9340,0.9278,0.9279,0.7909,0.9881,0.7006,0.9667,0.9075,0.3096,0.7290
3,+Class Weight,balanced,18,99.3228,81.7661,0.7616,0.8837,0.9383,0.8288,0.7871,0.9623,0.6518,0.9667,0.8555,0.3096,0.7300
4,+Dropout,"p=0.4, ES=5, CW",22,89.9842,81.1271,0.7593,0.8875,0.9162,0.8288,0.7746,0.9633,0.5822,0.9667,0.8671,0.3849,0.7100
5,+Weight Decay,"wd=1e-4, p=0.4, ES=5, CW",28,84.8725,80.9469,0.7473,0.9068,0.9104,0.8288,0.7158,0.9618,0.5627,0.9667,0.9249,0.2343,0.7290
6,ImprovedCNN(GAP+BN),"ch=32/64/128/128, p=0.3, wd=1e-4",6,88.8974,78.3748,0.7717,0.8804,0.7392,0.7568,0.8825,0.9504,0.6518,1.0000,0.8844,0.5356,0.8050
7,ImprovedCNN only,"lr=3e-4, no CW/DO/WD, ES=12",30,0.9971,0.8231,0.7983,0.8954,0.9115,0.8018,0.7987,0.9690,0.5613,1.0000,0.8844,0.8452,0.6590
8,ImprovedCNN+Aug+LRSched,"lr=1e-3→sched, wd=1e-5, p=0.3, aug=rot/flip, ES=15",52,0.9271,0.9164,0.8973,0.9250,0.9639,0.8559,0.8902,0.9850,0.8482,1.0000,0.9191,0.7531,0.8620
9,Exp8 - Augmentation (ablation),same as #8 without aug,34,0.9968,0.8907,0.8666,0.8881,0.9232,0.7568,0.8227,0.9788,0.8343,1.0000,0.9075,0.6862,0.8610
